Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Batt_Voltage_mV,Batt_Current_mA,Batt_Percent,Batt_State,Leaf_Detections,Pest_Detections
17:02:24.863,sequential,8.4,443.9,168.7,20.0,941.5,52.9,2400,16513,-335,99,idle,None,None
17:02:25.366,sequential,8.4,438.7,168.7,100.0,940.1,55.6,2400,16469,-480,99,idle,None,None
17:02:25.868,sequential,8.3,438.7,167.8,7.9,938.3,51.8,2400,16499,-533,99,idle,None,None
17:02:26.371,sequential,8.3,438.7,167.8,6.0,937.6,51.8,1700,16511,-386,99,idle,None,None
17:02:26.879,sequential,8.3,438.7,167.8,60.7,937.6,54.5,2400,16507,-364,99,idle,None,None
17:02:27.381,sequential,8.3,463.6,176.1,68.3,936.4,52.4,2400,16473,-532,99,idle,None,None
17:02:27.884,sequential,8.3,463.6,176.1,6.0,949.6,51.2,2400,16511,-503,99,idle,None,None
17:02:28.386,sequential,8.4,463.6,176.1,11.9,950.3,50.7,2400,16514,-339,99,idle,None,None
17:02:28.891,sequential,8.4,427.3,176.1,94.1,950.3,55.1,2400,16474,-446,99,idle,None,None
17:02:29.394,sequential,8.3,427.3,181.3,31.2,950.2,51.8,2400,16491,-538,99,idle,None,None
17:02:29.896,sequential,8.3,427.3,181.3,5.0,950.2,51.8,2400,16510,-429,99,idle,None,None
17:02:30.402,sequential,8.3,427.3,181.3,37.0,944.2,55.1,2400,16512,-340,99,idle,None,None
17:02:30.905,sequential,8.3,420.2,170.5,84.7,944.2,54.0,2400,16463,-507,99,idle,None,None
17:02:31.407,sequential,8.3,420.2,170.5,5.4,944.2,51.2,2400,16501,-527,99,idle,None,None
17:02:31.910,sequential,8.4,420.2,170.5,6.0,944.2,51.2,1600,16510,-358,99,idle,None,None
17:02:32.415,sequential,8.4,420.2,170.5,77.3,944.2,56.2,2400,16483,-401,99,idle,None,None
17:02:32.918,sequential,8.4,461.4,180.7,52.2,949.3,52.9,2400,16461,-534,99,idle,None,None
17:02:33.420,sequential,8.3,461.4,180.7,7.7,947.6,51.8,2400,16505,-468,99,idle,None,None
17:02:33.926,sequential,8.3,461.4,180.7,24.2,947.6,53.5,2400,16509,-334,99,idle,None,None
17:02:34.429,sequential,8.3,422.9,180.7,100.0,947.6,56.8,2400,16467,-471,99,idle,None,None
17:02:34.931,sequential,8.3,422.9,183.7,12.9,946.6,52.4,2400,16495,-533,99,idle,None,None
17:02:35.434,sequential,8.4,422.9,183.7,4.0,942.9,50.7,2400,16508,-397,99,idle,None,None
17:02:35.939,sequential,8.4,422.9,183.7,55.2,942.9,56.2,2400,16510,-369,99,idle,None,None
17:02:36.442,sequential,8.4,444.3,195.7,72.9,942.6,53.5,2400,16467,-535,99,idle,None,None
17:02:36.944,sequential,8.3,444.3,195.7,4.5,942.3,52.4,2400,16504,-509,99,idle,None,None
17:02:37.447,sequential,8.3,444.3,195.7,5.0,940.9,51.8,1700,16507,-341,99,idle,None,None
17:02:37.954,sequential,8.2,444.3,195.7,87.1,948.4,56.8,2400,16484,-412,99,idle,None,None
17:02:38.457,sequential,8.2,479.5,182.9,46.0,947.0,52.9,2400,16460,-536,99,idle,None,None
17:02:38.959,sequential,8.2,479.5,182.9,4.0,945.2,52.4,2400,16504,-458,99,idle,None,None
17:02:39.469,sequential,8.4,479.5,182.9,22.3,944.1,54.5,2400,16507,-334,99,idle,None,None
17:02:39.972,sequential,8.4,432.5,182.9,99.0,944.1,56.8,2400,16465,-477,99,idle,None,None
